id,company,rank,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable
1,Walmart,1,523964,14881,2200000,Retailing,Bentonville,AR,0,0,0,1
2,Amazon,2,280522,11588,798000,Retailing,Seattle,WA,0,1,0,1
3,Exxon Mobil,3,264938,14340,74900,Energy,Irving,TX,0,0,0,1
4,Apple,4,260174,55256,137000,Technology,Cupertino,CA,0,0,0,1
5,CVS Health,5,256776,6634,290000,Health Care,Woonsocket,RI,0,0,1,1
6,Berkshire Hathaway,6,254616,81417,391500,Financials,Omaha,NE,0,0,0,1
7,UnitedHealth Group,7,242155,13839,325000,Health Care,Minnetonka,MN,0,0,0,1
8,McKesson,8,214319,34,70000,Health Care,Irving,TX,0,0,0,1
9,AT&T,9,181193,13903,247800,Telecommunications,Dallas,TX,0,0,0,1
10,AmerisourceBergen,10,179589.1,855.4,21500,Health Care,Chesterbrook,PA,0,0,0,1
11,Alphabet,11,161857,34343,118899,Technology,Mountain View,CA,0,0,0,1
12,Ford Motor,12,155900,47,190000,Motor Vehicles & Parts,Dearborn,MI,0,0,0,1
13,Cigna,13,153566,5104,73700,Health Care,Bloomfield,CT,0,0,0,1
14,Costco Wholesale,14,152703,3659,201500,Retailing,Issaquah,WA,0,0,0,1
15,Chevron,15,146516,2924,48200,Energy,San Ramon,CA,0,0,0,1
16,Cardinal Health,16,145534,1363,49500,Health Care,Dublin,OH,0,0,0,1
17,JPMorgan Chase,17,142422,36431,256981,Financials,New York,NY,0,0,0,1
18,General Motors,18,137237,6732,164000,Motor Vehicles & Parts,Detroit,MI,0,0,1,1
19,Walgreens Boots Alliance,19,136866,3982,287000,Food & Drug Stores,Deerfield,IL,0,0,0,1
20,Verizon Communications,20,131868,19265,135000,Telecommunications,New York,NY,0,0,0,1
21,Microsoft,21,125843,39240,144000,Technology,Redmond,WA,0,0,0,1
22,Marathon Petroleum,22,124813,2637,60910,Energy,Findlay,OH,0,0,0,1
23,Kroger,23,122286,1659,435000,Food & Drug Stores,Cincinnati,OH,0,0,0,1
24,Fannie Mae,24,120304,14160,7500,Financials,Washington,DC,0,0,0,1
25,Bank of America,25,113589,27430,208131,Financials,Charlotte,NC,0,0,0,1
26,Home Depot,26,110225,11242,415700,Retailing,Atlanta,GA,0,0,0,1
27,Phillips 66,27,109559,3076,14500,Energy,Houston,TX,0,0,0,1
28,Comcast,28,108942,13057,190000,Telecommunications,Philadelphia,PA,0,0,0,1
29,Anthem,29,104213,4807,70600,Health Care,Indianapolis,IN,0,0,1,1
30,Wells Fargo,30,103915,19549,259800,Financials,San Francisco,CA,0,0,0,1
31,Citigroup,31,103449,19401,200000,Financials,New York,NY,0,0,1,1
32,Valero Energy,32,102729,2422,10222,Energy,San Antonio,TX,0,0,0,1
